,state_name,state_id,month,AQI,lat,lng,density,population,Category,Commercial Consumption,Delivered to Consumers,Electric Power Consumption,Industrial Consumption,Residential Consumption,Vehicle Fuel Consumption,total
0,Alabama,AL,1,37,33.3173,-86.8356,412,52337600,Good,4318.0,66776.0,33995.0,20837.0,7619.0,6.0,133551.0
1,Alabama,AL,2,38,33.2297,-86.8105,414,48578333,Good,4050.0,57466.0,27255.0,19136.0,7020.0,6.0,114933.0
2,Alabama,AL,3,43,33.1279,-86.8814,435,60388837,Good,2206.0,51858.0,25905.0,20281.0,3461.0,6.0,103717.0
3,Alabama,AL,4,47,33.1279,-86.8814,435,58440810,Good,1914.0,48085.0,24456.0,19521.0,2189.0,6.0,96171.0
4,Alabama,AL,5,44,33.1231,-86.8856,437,60374774,Good,1439.0,50999.0,28957.0,19305.0,1293.0,6.0,101999.0
5,Alabama,AL,6,38,33.1279,-86.8814,435,58440810,Good,1181.0,57789.0,37057.0,18726.0,820.0,6.0,115579.0
6,Alabama,AL,7,39,33.1369,-86.8778,435,60362259,Good,1175.0,59560.0,38385.0,19238.0,756.0,6.0,119120.0
7,Alabama,AL,8,42,33.1135,-86.8943,439,60346648,Good,1142.0,62011.0,40819.0,19327.0,717.0,6.0,124022.0
8,Alabama,AL,9,37,33.1279,-86.8814,435,58440810,Good,1245.0,54765.0,33860.0,18917.0,737.0,6.0,109530.0
9,Alabama,AL,10,37,33.146,-86.8742,435,60335681,Good,1876.0,54521.0,31870.0,19652.0,1116.0,6.0,109041.0
10,Alabama,AL,11,38,33.2614,-86.8268,414,52910666,Good,2521.0,57839.0,33914.0,19100.0,2298.0,6.0,115678.0
11,Alabama,AL,12,34,33.3429,-86.7456,410,55791569,Good,2644.0,59650.0,33767.0,19032.0,4201.0,6.0,119300.0
12,Alaska,AK,1,58,61.4802,-143.6454,150,10699991,Moderate,1994.0,7622.0,2204.0,774.0,2649.0,0.0,15243.0
13,Alaska,AK,2,42,61.4802,-143.6454,150,9664508,Good,2153.0,7685.0,2068.0,668.0,2796.0,0.0,15370.0
14,Alaska,AK,3,29,61.4802,-143.6454,150,10699991,Good,2118.0,7858.0,2122.0,892.0,2725.0,0.0,15715.0
15,Alaska,AK,4,31,61.6964,-144.322,161,10162236,Good,1426.0,5978.0,1945.0,892.0,1715.0,0.0,11956.0
