,state_name,state_id,month,AQI,lat,lng,density,population,Category
0,Alabama,AL,01,37,33.3173,-86.8356,412,52337600,Good
1,Alabama,AL,02,38,33.2297,-86.8105,414,48578333,Good
2,Alabama,AL,03,43,33.1279,-86.8814,435,60388837,Good
3,Alabama,AL,04,47,33.1279,-86.8814,435,58440810,Good
4,Alabama,AL,05,44,33.1231,-86.8856,437,60374774,Good
5,Alabama,AL,06,38,33.1279,-86.8814,435,58440810,Good
6,Alabama,AL,07,39,33.1369,-86.8778,435,60362259,Good
7,Alabama,AL,08,42,33.1135,-86.8943,439,60346648,Good
8,Alabama,AL,09,37,33.1279,-86.8814,435,58440810,Good
9,Alabama,AL,10,37,33.146,-86.8742,435,60335681,Good
10,Alabama,AL,11,38,33.2614,-86.8268,414,52910666,Good
11,Alabama,AL,12,34,33.3429,-86.7456,410,55791569,Good
12,Alaska,AK,01,58,61.4802,-143.6454,150,10699991,Moderate
13,Alaska,AK,02,42,61.4802,-143.6454,150,9664508,Good
14,Alaska,AK,03,29,61.4802,-143.6454,150,10699991,Good
15,Alaska,AK,04,31,61.6964,-144.322,161,10162236,Good
16,Alaska,AK,05,24,61.4802,-143.6454,150,10699991,Good
17,Alaska,AK,06,21,61.4802,-143.6454,150,10354830,Good
18,Alaska,AK,07,29,61.4802,-143.6454,150,10699991,Good
19,Alaska,AK,08,19,61.5467,-143.8536,153,10635793,Good
20,Alaska,AK,09,18,61.4802,-143.6454,150,10354830,Good
21,Alaska,AK,10,26,61.4802,-143.6454,150,10699991,Good
22,Alaska,AK,11,39,61.4802,-143.6454,150,10354830,Good
23,Alaska,AK,12,49,61.4802,-143.6454,150,10699991,Good
24,Arizona,AZ,01,52,33.2722,-111.7838,463,168468725,Moderate
25,Arizona,AZ,02,42,33.3992,-111.848,454,153338801,Good
26,Arizona,AZ,03,58,33.3996,-111.8482,454,169772615,Moderate
27,Arizona,AZ,04,65,33.4034,-111.8502,454,164338140,Moderate
28,Arizona,AZ,05,57,33.4034,-111.8502,454,169816078,Moderate
29,Arizona,AZ,06,58,33.424,-111.8594,455,164277594,Moderate
30,Arizona,AZ,07,56,33.41,-111.8531,454,169795896,Moderate
31,Arizona,AZ,08,49,33.4034,-111.8502,454,169816078,Good
32,Arizona,AZ,09,60,33.4034,-111.8502,454,164338140,Moderate
33,Arizona,AZ,10,58,33.3996,-111.8482,454,169772615,Moderate
34,Arizona,AZ,11,46,33.4167,-111.8428,455,164166668,Good
35,Arizona,AZ,12,44,33.4034,-111.8502,454,169816078,Good
36,Arkansas,AR,01,30,35.1338,-93.3515,538,29958106,Good
37,Arkansas,AR,02,36,35.1737,-93.3661,542,26937140,Good
38,Arkansas,AR,03,42,35.1597,-93.3612,540,29883757,Good
39,Arkansas,AR,04,41,35.1439,-93.3554,539,28954674,Good
40,Arkansas,AR,05,37,35.123,-93.3476,538,29975932,Good
41,Arkansas,AR,06,42,35.1326,-93.3513,539,28972500,Good
42,Arkansas,AR,07,45,35.1433,-93.3548,539,29908739,Good
43,Arkansas,AR,08,44,35.1375,-93.3532,539,29919409,Good
44,Arkansas,AR,09,44,35.1326,-93.3513,539,28972500,Good
45,Arkansas,AR,10,37,35.123,-93.3476,538,29975932,Good
46,Arkansas,AR,11,38,35.312,-93.4017,538,28667053,Good
47,Arkansas,AR,12,36,35.1375,-93.3532,539,29919409,Good
48,California,CA,01,52,37.347,-120.8032,1680,921309236,Moderate
49,California,CA,02,46,37.3497,-120.8042,1677,832172852,Good
50,California,CA,03,44,37.3292,-120.7881,1681,921271979,Good
51,California,CA,04,50,37.3491,-120.8046,1678,891608938,Good
52,California,CA,05,54,37.3136,-120.7666,1681,920315700,Moderate
53,California,CA,06,58,37.3087,-120.7481,1680,889008572,Moderate
54,California,CA,07,68,37.3194,-120.757,1678,918672368,Moderate
55,California,CA,08,86,37.2941,-120.7389,1680,918642725,Moderate
56,California,CA,09,72,37.2802,-120.7273,1680,888992400,Moderate
57,California,CA,10,56,37.2232,-120.6834,1685,918540517,Moderate
58,California,CA,11,54,37.2829,-120.7299,1680,888874275,Moderate
59,California,CA,12,50,37.3167,-120.7555,1677,918681007,Good
60,Colorado,CO,01,40,39.5061,-106.0894,947,127707002,Good
61,Colorado,CO,02,43,39.5031,-106.0891,951,115188646,Good
62,Colorado,CO,03,46,39.5104,-106.0945,948,127564276,Good
63,Colorado,CO,04,46,39.509,-106.0928,947,123495340,Good
64,Colorado,CO,05,48,39.5061,-106.0894,947,127707002,Good
65,Colorado,CO,06,60,39.509,-106.0928,947,123495340,Moderate
66,Colorado,CO,07,81,39.475,-106.0566,949,128381488,Moderate
67,Colorado,CO,08,72,39.4274,-105.9995,942,130094200,Moderate
68,Colorado,CO,09,55,39.446,-106.0175,939,125636230,Moderate
69,Colorado,CO,10,38,39.4339,-106.003,937,130276070,Good
70,Colorado,CO,11,36,39.4229,-105.9913,938,126336812,Good
71,Colorado,CO,12,37,39.4266,-105.9825,940,130516013,Good
72,Connecticut,CT,01,36,41.5307,-72.804,1954,82770620,Good
73,Connecticut,CT,02,38,41.5354,-72.8087,1952,72459272,Good
74,Connecticut,CT,03,42,41.5307,-72.804,1954,82770620,Good
75,Connecticut,CT,04,44,41.5307,-72.804,1954,80100600,Good
76,Connecticut,CT,05,45,41.5307,-72.804,1954,82770620,Good
77,Connecticut,CT,06,57,41.5307,-72.804,1954,80100600,Moderate
78,Connecticut,CT,07,54,41.5307,-72.804,1954,82770620,Moderate
79,Connecticut,CT,08,54,41.5287,-72.8019,1964,82736361,Moderate
80,Connecticut,CT,09,36,41.5307,-72.804,1954,80100600,Good
81,Connecticut,CT,10,29,41.5307,-72.804,1954,82770620,Good
82,Connecticut,CT,11,35,41.5307,-72.804,1954,80100600,Good
83,Connecticut,CT,12,38,41.5307,-72.804,1954,82770620,Good
84,Delaware,DE,01,36,39.161,-75.5202,617,3903861,Good
85,Delaware,DE,02,38,39.161,-75.5202,617,3148275,Good
86,Delaware,DE,03,38,39.161,-75.5202,617,3651999,Good
87,Delaware,DE,04,44,39.161,-75.5202,617,3777930,Good
88,Delaware,DE,05,47,39.161,-75.5202,617,3903861,Good
89,Delaware,DE,06,41,39.161,-75.5202,617,3777930,Good
90,Delaware,DE,07,50,39.161,-75.5202,617,3903861,Good
91,Delaware,DE,08,41,39.161,-75.5202,617,3903861,Good
92,Delaware,DE,09,38,39.161,-75.5202,617,3777930,Good
93,District of Columbia,DC,01,43,38.9047,-77.0163,4434,157076163,Good
94,District of Columbia,DC,02,51,38.9047,-77.0163,4434,141875244,Moderate
95,District of Columbia,DC,03,47,38.9047,-77.0163,4434,157076163,Good
96,District of Columbia,DC,04,50,38.9047,-77.0163,4434,152009190,Good
97,District of Columbia,DC,05,57,38.9047,-77.0163,4434,157076163,Moderate
98,District of Columbia,DC,06,51,38.9047,-77.0163,4434,152009190,Moderate
99,District of Columbia,DC,07,69,38.9047,-77.0163,4434,157076163,Moderate
100,District of Columbia,DC,08,60,38.9047,-77.0163,4434,157076163,Moderate
101,District of Columbia,DC,09,44,38.9047,-77.0163,4434,152009190,Good
102,District of Columbia,DC,10,38,38.9047,-77.0163,4434,157076163,Good
103,District of Columbia,DC,11,42,38.9047,-77.0163,4434,152009190,Good
104,District of Columbia,DC,12,47,38.9047,-77.0163,4434,157076163,Good
105,Florida,FL,01,38,28.6042,-82.4005,822,479671509,Good
106,Florida,FL,02,36,28.6049,-82.4052,823,433171044,Good
107,Florida,FL,03,41,28.6002,-82.3988,822,479722630,Good
108,Florida,FL,04,47,28.6026,-82.3991,822,464259480,Good
109,Florida,FL,05,44,28.6019,-82.3987,823,479561640,Good
110,Florida,FL,06,33,28.6043,-82.3999,823,463947611,Good
111,Florida,FL,07,34,28.5845,-82.4156,834,479213444,Good
112,Florida,FL,08,36,28.5912,-82.4223,832,479369053,Good
113,Florida,FL,09,36,28.6063,-82.4001,822,464237730,Good
114,Florida,FL,10,36,28.6038,-82.4019,822,479709183,Good
115,Florida,FL,11,37,28.6043,-82.4006,822,464196193,Good
116,Florida,FL,12,37,28.6026,-82.3991,822,479734796,Good
117,Georgia,GA,01,35,32.8602,-83.5619,536,215154990,Good
118,Georgia,GA,02,33,32.8686,-83.5674,537,194390291,Good
119,Georgia,GA,03,45,32.9262,-83.6939,523,217938771,Good
120,Georgia,GA,04,47,32.9242,-83.6802,524,210568794,Good
121,Georgia,GA,05,42,32.9482,-83.7036,524,217795072,Good
122,Georgia,GA,06,35,32.939,-83.6937,521,210244102,Good
123,Georgia,GA,07,38,32.9368,-83.6983,524,218025336,Good
124,Georgia,GA,08,39,32.9495,-83.6888,522,217027705,Good
125,Georgia,GA,09,38,32.9434,-83.6975,523,210824998,Good
126,Georgia,GA,10,35,32.9291,-83.6959,524,217975988,Good
127,Georgia,GA,11,41,32.7464,-83.4266,526,207670691,Good
128,Georgia,GA,12,43,32.7315,-83.425,527,214054767,Good
129,Hawaii,HI,01,20,20.8836,-156.9662,504,2641262,Good
130,Hawaii,HI,02,19,20.8836,-156.9662,504,2385656,Good
131,Hawaii,HI,03,19,20.8836,-156.9662,504,2641262,Good
132,Hawaii,HI,04,16,20.8836,-156.9662,504,2556060,Good
133,Hawaii,HI,05,15,20.8836,-156.9662,504,2641262,Good
134,Hawaii,HI,06,12,20.8836,-156.9662,504,2556060,Good
135,Hawaii,HI,07,14,20.8836,-156.9662,504,2641262,Good
136,Hawaii,HI,08,14,20.8836,-156.9662,504,2641262,Good
137,Hawaii,HI,09,13,20.8836,-156.9662,504,2556060,Good
138,Hawaii,HI,10,18,20.8841,-156.989,490,2521290,Good
139,Hawaii,HI,11,17,20.8836,-156.9662,504,2556060,Good
140,Hawaii,HI,12,16,20.8705,-156.9403,505,2631301,Good
141,Idaho,ID,01,28,45.2352,-115.0954,961,12849386,Good
142,Idaho,ID,02,22,45.1936,-115.0761,958,11652368,Good
143,Idaho,ID,03,26,45.1936,-115.0761,958,12900836,Good
144,Idaho,ID,04,27,45.2006,-115.0794,959,12476105,Good
145,Idaho,ID,05,24,45.2179,-115.0851,960,12743081,Good
146,Idaho,ID,06,29,45.2603,-115.0967,959,12259679,Good
147,Idaho,ID,07,60,45.1936,-115.0761,958,12900836,Moderate
148,Idaho,ID,08,72,45.1936,-115.0761,958,12900836,Moderate
149,Idaho,ID,09,42,45.1936,-115.0761,958,12484680,Good
150,Idaho,ID,10,24,45.1936,-115.0761,958,12900836,Good
151,Idaho,ID,11,28,45.1031,-114.998,944,11888208,Good
152,Idaho,ID,12,22,45.1628,-115.0551,955,12556196,Good
153,Illinois,IL,01,40,40.417,-88.8775,1346,298757923,Good
154,Illinois,IL,02,44,40.3919,-88.8828,1350,269477900,Good
155,Illinois,IL,03,42,40.2434,-89.1046,1216,301396818,Good
156,Illinois,IL,04,43,40.2503,-89.0835,1221,291541697,Good
157,Illinois,IL,05,43,40.2434,-89.1046,1216,301396818,Good
158,Illinois,IL,06,52,40.2434,-89.1046,1216,291674340,Moderate
159,Illinois,IL,07,51,40.2434,-89.1046,1216,301396818,Moderate
160,Illinois,IL,08,49,40.2693,-89.1174,1233,301310648,Good
161,Illinois,IL,09,45,40.2434,-89.1046,1216,291674340,Good
162,Illinois,IL,10,35,40.2434,-89.1046,1216,301396818,Good
163,Illinois,IL,11,38,40.4368,-88.8829,1348,289762245,Good
164,Illinois,IL,12,41,40.4242,-88.888,1353,299145014,Good
165,Indiana,IN,01,36,40.1171,-86.3857,825,102277742,Good
166,Indiana,IN,02,45,40.1162,-86.3863,825,92300458,Good
167,Indiana,IN,03,40,40.1239,-86.3776,826,102349241,Good
168,Indiana,IN,04,44,40.1193,-86.3797,826,99074810,Good
169,Indiana,IN,05,44,40.1112,-86.3815,826,102404911,Good
170,Indiana,IN,06,50,40.1263,-86.3849,828,98707842,Good
171,Indiana,IN,07,51,40.1183,-86.3768,828,102390783,Moderate
172,Indiana,IN,08,46,40.1239,-86.3776,826,102349241,Good
173,Indiana,IN,09,42,40.1215,-86.3807,827,99030468,Good
174,Indiana,IN,10,34,40.1165,-86.3791,826,102399247,Good
175,Indiana,IN,11,35,40.1193,-86.3797,826,99074810,Good
176,Indiana,IN,12,35,40.1173,-86.3835,825,102364779,Good
177,Iowa,IA,01,44,41.876,-92.1919,624,43278051,Good
178,Iowa,IA,02,46,41.9078,-92.2126,632,38992357,Good
179,Iowa,IA,03,42,41.8854,-92.1976,628,43219766,Good
180,Iowa,IA,04,41,41.8768,-92.194,624,41736882,Good
181,Iowa,IA,05,37,41.8807,-92.195,625,43267644,Good
182,Iowa,IA,06,47,41.876,-92.1915,626,41857810,Good
183,Iowa,IA,07,53,41.8806,-92.1944,627,43230173,Moderate
184,Iowa,IA,08,46,41.9047,-92.2105,631,43178138,Good
185,Iowa,IA,09,40,41.8808,-92.1947,626,41847403,Good
186,Iowa,IA,10,32,41.8312,-91.8581,632,41109004,Good
187,Iowa,IA,11,34,41.8188,-91.8359,633,39672106,Good
188,Iowa,IA,12,40,41.8299,-91.8158,637,40807791,Good
189,Kansas,KS,01,32,38.1956,-97.4793,809,20602727,Good
190,Kansas,KS,02,30,38.1851,-97.5415,808,18634983,Good
191,Kansas,KS,03,32,38.183,-97.5543,808,20607837,Good
192,Kansas,KS,04,37,38.1836,-97.5503,808,19950219,Good
193,Kansas,KS,05,28,38.1914,-97.5039,808,20629913,Good
194,Kansas,KS,06,43,38.1617,-97.686,811,19728540,Good
195,Kansas,KS,07,45,38.1617,-97.686,811,20386158,Good
196,Kansas,KS,08,45,38.1617,-97.686,811,20386158,Good
197,Kansas,KS,09,41,38.1617,-97.686,811,19728540,Good
198,Kansas,KS,10,32,38.1617,-97.686,811,20386158,Good
199,Kansas,KS,11,33,38.1708,-97.633,813,19674168,Good
200,Kansas,KS,12,40,38.1705,-97.6347,813,20331786,Good
201,Kentucky,KY,01,36,37.3185,-85.8382,566,18788030,Good
202,Kentucky,KY,02,42,37.3252,-85.8639,571,16994496,Good
203,Kentucky,KY,03,42,37.3202,-85.8384,566,18866476,Good
204,Kentucky,KY,04,45,37.3202,-85.8384,566,18257880,Good
205,Kentucky,KY,05,44,37.3235,-85.8482,566,18857234,Good
206,Kentucky,KY,06,43,37.3202,-85.8384,566,18257880,Good
207,Kentucky,KY,07,54,37.3202,-85.8384,566,18866476,Moderate
208,Kentucky,KY,08,44,37.3202,-85.8384,566,18866476,Good
209,Kentucky,KY,09,39,37.3202,-85.8384,566,18257880,Good
210,Kentucky,KY,10,37,37.3202,-85.8384,566,18866476,Good
211,Kentucky,KY,11,37,37.3168,-85.845,566,17941137,Good
212,Kentucky,KY,12,37,37.3169,-85.8448,566,18549733,Good
213,Louisiana,LA,01,35,30.7928,-91.8,780,80081363,Good
214,Louisiana,LA,02,37,30.6824,-91.7979,794,70522194,Good
215,Louisiana,LA,03,40,30.7944,-91.8142,784,79778464,Good
216,Louisiana,LA,04,43,30.7837,-91.8259,785,76530793,Good
217,Louisiana,LA,05,41,30.7953,-91.8113,782,79929987,Good
218,Louisiana,LA,06,38,30.7947,-91.8134,783,77251402,Good
219,Louisiana,LA,07,44,30.7932,-91.8085,783,79854152,Good
220,Louisiana,LA,08,46,30.81,-91.8285,782,79338469,Good
221,Louisiana,LA,09,43,30.8676,-91.9162,785,75108271,Good
222,Louisiana,LA,10,42,30.7953,-91.8113,782,79929987,Good
223,Louisiana,LA,11,43,30.7898,-91.7901,779,77554154,Good
224,Louisiana,LA,12,35,30.7932,-91.8085,783,79854152,Good
225,Maine,ME,01,27,44.2147,-69.7151,641,8623725,Good
226,Maine,ME,02,31,44.2092,-69.7379,627,7957996,Good
227,Maine,ME,03,40,44.2142,-69.6293,466,9526701,Good
228,Maine,ME,04,40,44.2137,-69.6263,464,9225866,Good
229,Maine,ME,05,38,44.2125,-69.6198,461,9548217,Good
230,Maine,ME,06,44,44.2125,-69.6198,461,9240210,Good
231,Maine,ME,07,32,44.2125,-69.6198,461,9548217,Good
232,Maine,ME,08,36,44.2131,-69.6229,463,9541045,Good
