,state_id,month,Commercial Consumption,Delivered to Consumers,Electric Power Consumption,Industrial Consumption,Residential Consumption,Vehicle Fuel Consumption
0,AK,1,1994.0,7622.0,2204.0,774.0,2649.0,0.0
1,AK,2,2153.0,7685.0,2068.0,668.0,2796.0,0.0
2,AK,3,2118.0,7858.0,2122.0,892.0,2725.0,0.0
3,AK,4,1426.0,5978.0,1945.0,892.0,1715.0,0.0
4,AK,5,909.0,4644.0,1884.0,850.0,1001.0,0.0
5,AK,6,563.0,3676.0,1951.0,524.0,638.0,0.0
6,AK,7,491.0,3715.0,2222.0,439.0,562.0,0.0
7,AK,8,616.0,4139.0,2356.0,543.0,625.0,0.0
8,AK,9,857.0,4282.0,1863.0,485.0,1076.0,0.0
9,AK,10,1316.0,6131.0,2143.0,923.0,1749.0,0.0
10,AK,11,2136.0,13722.0,2339.0,6268.0,2979.0,0.0
11,AK,12,2239.0,15351.0,2414.0,7677.0,3021.0,0.0
12,AL,1,4318.0,66776.0,33995.0,20837.0,7619.0,6.0
13,AL,2,4050.0,57466.0,27255.0,19136.0,7020.0,6.0
14,AL,3,2206.0,51858.0,25905.0,20281.0,3461.0,6.0
15,AL,4,1914.0,48085.0,24456.0,19521.0,2189.0,6.0
16,AL,5,1439.0,50999.0,28957.0,19305.0,1293.0,6.0
17,AL,6,1181.0,57789.0,37057.0,18726.0,820.0,6.0
18,AL,7,1175.0,59560.0,38385.0,19238.0,756.0,6.0
19,AL,8,1142.0,62011.0,40819.0,19327.0,717.0,6.0
20,AL,9,1245.0,54765.0,33860.0,18917.0,737.0,6.0
21,AL,10,1876.0,54521.0,31870.0,19652.0,1116.0,6.0
22,AL,11,2521.0,57839.0,33914.0,19100.0,2298.0,6.0
23,AL,12,2644.0,59650.0,33767.0,19032.0,4201.0,6.0
24,AR,1,7792.0,31688.0,6942.0,9524.0,7423.0,7.0
25,AR,2,7655.0,31140.0,7699.0,8131.0,7649.0,6.0
26,AR,3,6775.0,32803.0,10955.0,9000.0,6066.0,7.0
27,AR,4,4348.0,28364.0,13147.0,8828.0,2035.0,7.0
28,AR,5,3585.0,21978.0,7915.0,9090.0,1381.0,7.0
29,AR,6,3100.0,26892.0,14689.0,8496.0,600.0,7.0
30,AR,7,3134.0,26668.0,14470.0,8436.0,621.0,7.0
31,AR,8,3153.0,27640.0,15645.0,8336.0,499.0,7.0
32,AR,9,3400.0,25128.0,12804.0,8359.0,558.0,7.0
33,AR,10,3678.0,26766.0,13511.0,8774.0,796.0,7.0
34,AR,11,5221.0,33045.0,15784.0,8963.0,3072.0,7.0
35,AR,12,5221.0,33256.0,15837.0,9050.0,3141.0,7.0
36,AZ,1,4645.0,42950.0,27579.0,2143.0,8406.0,176.0
37,AZ,2,4108.0,28948.0,16292.0,1844.0,6545.0,159.0
38,AZ,3,3379.0,34099.0,23200.0,1864.0,5480.0,176.0
39,AZ,4,2467.0,35328.0,28302.0,1554.0,2835.0,170.0
40,AZ,5,2356.0,38169.0,31809.0,1597.0,2231.0,176.0
41,AZ,6,2102.0,41908.0,36739.0,1407.0,1490.0,170.0
42,AZ,7,1959.0,50266.0,45370.0,1521.0,1240.0,176.0
43,AZ,8,1963.0,46256.0,41459.0,1393.0,1264.0,176.0
44,AZ,9,1977.0,39704.0,34858.0,1377.0,1322.0,170.0
45,AZ,10,2269.0,32592.0,26786.0,1520.0,1841.0,176.0
46,AZ,11,2691.0,28158.0,20940.0,1717.0,2640.0,170.0
47,AZ,12,3364.0,34492.0,24413.0,2004.0,4535.0,176.0
48,CA,1,23555.0,195087.0,45260.0,56021.0,68090.0,2161.0
49,CA,2,21545.0,164201.0,39320.0,48959.0,52425.0,1952.0
50,CA,3,22128.0,177219.0,41649.0,56762.0,54518.0,2161.0
51,CA,4,17748.0,148023.0,39063.0,55790.0,33330.0,2092.0
52,CA,5,16277.0,140206.0,39330.0,54842.0,27595.0,2161.0
53,CA,6,16050.0,154963.0,58693.0,56255.0,21873.0,2092.0
54,CA,7,17041.0,181926.0,84015.0,58066.0,20642.0,2161.0
55,CA,8,16316.0,175144.0,74623.0,63381.0,18663.0,2161.0
56,CA,9,19004.0,161277.0,62127.0,57168.0,20886.0,2092.0
57,CA,10,19250.0,164940.0,56664.0,62100.0,24764.0,2161.0
58,CA,11,22426.0,164762.0,51454.0,53952.0,34838.0,2092.0
59,CA,12,28678.0,214732.0,53883.0,58322.0,71687.0,2161.0
60,CO,1,9303.0,51840.0,10002.0,9194.0,23191.0,150.0
61,CO,2,8920.0,49636.0,9491.0,8697.0,22393.0,135.0
62,CO,3,7333.0,40430.0,7086.0,8816.0,17046.0,150.0
63,CO,4,5038.0,31445.0,7531.0,7482.0,11250.0,145.0
64,CO,5,3466.0,25953.0,9312.0,6074.0,6951.0,150.0
65,CO,6,1850.0,22246.0,11478.0,5417.0,3355.0,145.0
66,CO,7,1767.0,23918.0,13930.0,5378.0,2692.0,150.0
67,CO,8,1646.0,23308.0,13049.0,5549.0,2914.0,150.0
68,CO,9,1859.0,21318.0,10179.0,5837.0,3298.0,145.0
69,CO,10,3523.0,25816.0,7302.0,7116.0,7725.0,150.0
70,CO,11,5686.0,36185.0,8892.0,8141.0,13321.0,145.0
71,CO,12,8790.0,47161.0,8037.0,9001.0,21184.0,150.0
72,CT,1,8258.0,33290.0,12780.0,2502.0,9733.0,17.0
73,CT,2,7590.0,30523.0,11856.0,2263.0,8799.0,15.0
74,CT,3,6102.0,28221.0,13284.0,2039.0,6780.0,17.0
75,CT,4,4189.0,19982.0,10261.0,1590.0,3926.0,16.0
76,CT,5,2829.0,18308.0,11528.0,1674.0,2260.0,17.0
77,CT,6,2212.0,20933.0,15717.0,1546.0,1442.0,16.0
78,CT,7,2417.0,20580.0,15383.0,1633.0,1130.0,17.0
79,CT,8,2544.0,22339.0,17172.0,1593.0,1013.0,17.0
80,CT,9,2490.0,19053.0,13723.0,1666.0,1157.0,16.0
81,CT,10,3181.0,18597.0,12012.0,1598.0,1790.0,17.0
82,CT,11,4922.0,28025.0,16033.0,2281.0,4772.0,16.0
83,CT,12,6796.0,29797.0,13746.0,2166.0,7073.0,17.0
84,DC,1,2111.0,4355.0,,,2221.0,23.0
85,DC,2,2125.0,4320.0,,,2174.0,21.0
86,DC,3,1596.0,3055.0,,,1436.0,23.0
87,DC,4,1145.0,2038.0,,,870.0,23.0
88,DC,5,740.0,1269.0,,,506.0,23.0
89,DC,6,632.0,949.0,,,294.0,23.0
90,DC,7,589.0,872.0,,,260.0,23.0
91,DC,8,752.0,999.0,,,224.0,23.0
92,DC,9,675.0,955.0,,,257.0,23.0
93,DC,10,937.0,1292.0,,,331.0,23.0
94,DC,11,1826.0,3233.0,,,1385.0,23.0
95,DC,12,1630.0,3218.0,,,1564.0,23.0
96,DE,1,1681.0,8101.0,191.0,3756.0,2474.0,0.0
97,DE,2,1580.0,8051.0,718.0,3409.0,2345.0,0.0
98,DE,3,1042.0,5603.0,413.0,2600.0,1548.0,0.0
99,DE,4,1063.0,5288.0,922.0,2444.0,859.0,0.0
100,DE,5,473.0,5180.0,1748.0,2524.0,435.0,0.0
101,DE,6,383.0,6576.0,3700.0,2245.0,249.0,0.0
102,DE,7,404.0,6898.0,3976.0,2330.0,188.0,0.0
103,DE,8,415.0,7365.0,4404.0,2365.0,181.0,0.0
104,DE,9,439.0,4846.0,1754.0,2449.0,202.0,0.0
105,DE,10,558.0,4055.0,1129.0,2127.0,241.0,0.0
106,DE,11,1344.0,7794.0,2216.0,3065.0,1168.0,0.0
107,DE,12,1238.0,9234.0,2850.0,3512.0,1634.0,0.0
108,FL,1,6290.0,111798.0,90599.0,11380.0,3042.0,486.0
109,FL,2,5879.0,105130.0,86366.0,9920.0,2525.0,439.0
110,FL,3,5588.0,113941.0,94000.0,11842.0,2024.0,486.0
111,FL,4,5471.0,116367.0,97046.0,11578.0,1801.0,471.0
112,FL,5,5194.0,134914.0,116654.0,11205.0,1375.0,486.0
113,FL,6,4745.0,137734.0,120858.0,10522.0,1138.0,471.0
114,FL,7,4596.0,151178.0,134201.0,10901.0,993.0,486.0
115,FL,8,4467.0,157558.0,139901.0,11784.0,920.0,486.0
116,FL,9,4636.0,143667.0,127392.0,10214.0,953.0,471.0
117,FL,10,4673.0,137954.0,121001.0,10763.0,1031.0,486.0
118,FL,11,5553.0,110625.0,92050.0,11024.0,1527.0,471.0
119,FL,12,5908.0,115658.0,96851.0,10338.0,2075.0,486.0
120,GA,1,9250.0,82877.0,33384.0,15383.0,24731.0,129.0
121,GA,2,8044.0,66158.0,23388.0,13571.0,21038.0,116.0
122,GA,3,5096.0,56254.0,24894.0,13800.0,12336.0,129.0
123,GA,4,3745.0,56317.0,30629.0,13516.0,8303.0,125.0
124,GA,5,2714.0,53520.0,32308.0,12829.0,5540.0,129.0
125,GA,6,2272.0,56826.0,38064.0,12008.0,4358.0,125.0
126,GA,7,2237.0,59523.0,40348.0,12568.0,4241.0,129.0
127,GA,8,2205.0,61399.0,41662.0,13045.0,4358.0,129.0
128,GA,9,2252.0,52649.0,33174.0,12660.0,4438.0,125.0
129,GA,10,3016.0,57555.0,35053.0,13061.0,6297.0,129.0
130,GA,11,6263.0,72311.0,34788.0,15225.0,15911.0,125.0
131,GA,12,5988.0,71431.0,35857.0,14338.0,15118.0,129.0
132,HI,1,148.0,212.0,,7.0,57.0,0.0
133,HI,2,140.0,200.0,,7.0,52.0,0.0
134,HI,3,156.0,221.0,,10.0,54.0,0.0
135,HI,4,177.0,247.0,,10.0,60.0,0.0
136,HI,5,159.0,216.0,,9.0,49.0,0.0
137,HI,6,184.0,244.0,,10.0,50.0,0.0
138,HI,7,179.0,239.0,,9.0,51.0,0.0
139,HI,8,199.0,255.0,,9.0,47.0,0.0
140,HI,9,183.0,242.0,,8.0,51.0,0.0
141,HI,10,174.0,230.0,,8.0,48.0,0.0
142,HI,11,175.0,231.0,,9.0,48.0,0.0
143,HI,12,185.0,245.0,,8.0,52.0,0.0
144,IA,1,8104.0,44536.0,2276.0,22294.0,11860.0,2.0
145,IA,2,9440.0,44261.0,1228.0,19880.0,13711.0,2.0
